CallBack                 回收
RealAir                   真气日志
LongYuan              龙元日志
SpeSkillLevelUp      技能升级
TaskStart               接受任务
TaskFinished          完成任务
ChMap                  地图切换
PartyBuild              创建帮派
PartyLevelUp         帮派升级
PartyTowerUpgrade     帮派建筑升级
PartyDismiss          解散帮派
PartyAddMember   加入帮派
PartyDelMember    离开帮派
RoleExp                  角色经验
LoadProgress         客户端加载
EquipmentMelting  熔炼日志
PartyExchange        帮派兑换日志
PartyAssets             帮派物资日志
StallTrade                摊位交易日志
ZhanChang             巅峰战场日志
PlayerTradeGoods   玩家交易物品日志
YYTransfer               YY移民日志
Sign                         签到日志
ZhaoHui                  找回日志
BiaoChe                   镖车日志
FireMonkey             火猴日志
DailyLuckyWheel     YY每日转盘活动
WashSuperWeapon 神兵洗练日志
ChangeRace             改职业日志
DaoShi                     导师日志
BossCard                 BOSS召唤日志
